2013-09-18 20:50:54,415 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-09-18 20:52:37,470 [5] INFO  umbraco.BusinessLogic.Log - [Thread 11] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: 1100 | Comment: DTG: Retrieved the following data from database: <items><item id='1' sortOrder='1'><textField nodeName='Text field' nodeType='-88'>Oblivion movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>1</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>1234</int_integerField><colorField nodeName='Color field' nodeType='1379'>41</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 22:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 22:30</dateTimeValueField_datetime></item><item id='2' sortOrder='2'><textField nodeName='Text field' nodeType='-88'>Star Trek movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>0</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>4321</int_integerField><colorField nodeName='Color field' nodeType='1379'>40</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 10:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 10:30</dateTimeValueField_datetime></item></items>
2013-09-18 20:52:37,471 [5] INFO  umbraco.BusinessLogic.Log - [Thread 13] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: 1100 | Comment: DTG: ViewState did not contain data.
2013-09-18 20:52:37,489 [5] INFO  umbraco.BusinessLogic.Log - [Thread 10] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: 1100 | Comment: DTG: Returned value from ViewState: <items><item id='1' sortOrder='1'><textField nodeName='Text field' nodeType='-88'>Oblivion movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>1</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>1234</int_integerField><colorField nodeName='Color field' nodeType='1379'>41</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 22:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 22:30</dateTimeValueField_datetime></item><item id='2' sortOrder='2'><textField nodeName='Text field' nodeType='-88'>Star Trek movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>0</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>4321</int_integerField><colorField nodeName='Color field' nodeType='1379'>40</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 10:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 10:30</dateTimeValueField_datetime></item></items>
2013-09-18 20:52:37,495 [5] INFO  umbraco.BusinessLogic.Log - [Thread 11] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: 1100 | Comment: DTG: Returned value from ViewState: <items><item id='1' sortOrder='1'><textField nodeName='Text field' nodeType='-88'>Oblivion movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>1</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>1234</int_integerField><colorField nodeName='Color field' nodeType='1379'>41</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 22:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 22:30</dateTimeValueField_datetime></item><item id='2' sortOrder='2'><textField nodeName='Text field' nodeType='-88'>Star Trek movie</textField><checkboxField nodeName='Checkbox field' nodeType='-49'>0</checkboxField><int_integerField nodeName='Integer field' nodeType='-88'>4321</int_integerField><colorField nodeName='Color field' nodeType='1379'>40</colorField><dateTimePickerField nodeName='DateTimePicker field' nodeType='-36'>12/05/2013 10:30:00</dateTimePickerField><dateTimeValueField_datetime nodeName='DateTimeValueField' nodeType='-88'>2013-05-12 10:30</dateTimeValueField_datetime></item></items>
2013-09-18 20:54:51,373 [5] INFO  umbraco.BusinessLogic.Log - [Thread 12] Log scrubbed.  Removed all items older than 2013-07-20 20:54:51
2013-09-18 20:54:51,375 [5] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 12] Application shutdown. Reason: ConfigurationChange
2013-09-18 20:54:54,196 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-09-18 20:54:54,220 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 11ms)
2013-09-18 20:54:54,234 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-09-18 20:54:54,415 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 18 (took 179ms)
2013-09-18 20:54:54,458 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-09-18 20:54:54,470 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 12ms)
2013-09-18 20:54:54,476 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-09-18 20:54:54,489 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 12ms)
2013-09-18 20:54:54,489 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-09-18 20:54:54,501 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 11ms)
2013-09-18 20:54:54,504 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-09-18 20:54:54,517 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 13ms)
2013-09-18 20:54:54,518 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-09-18 20:54:54,532 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 13ms)
2013-09-18 20:54:54,825 [27] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2013-09-18 20:54:55,286 [27] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2013-09-18 20:54:55,301 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2013-09-18 20:54:55,325 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 24ms)
2013-09-18 20:54:55,453 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2013-09-18 20:54:55,484 [27] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 31ms)
2013-09-18 20:55:01,524 [27] INFO  umbraco.BusinessLogic.Log - [Thread 12] Log scrubbed.  Removed all items older than 2013-07-20 20:55:01
2013-09-18 20:55:01,525 [27] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 12] Application shutdown. Reason: HostingEnvironment
2013-09-18 20:55:14,647 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-09-18 20:55:14,671 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 10ms)
2013-09-18 20:55:14,686 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-09-18 20:55:14,861 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 18 (took 171ms)
2013-09-18 20:55:14,899 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-09-18 20:55:14,910 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 11ms)
2013-09-18 20:55:14,915 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-09-18 20:55:14,927 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 12ms)
2013-09-18 20:55:14,927 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-09-18 20:55:14,936 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 8ms)
2013-09-18 20:55:14,945 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-09-18 20:55:14,959 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 13ms)
2013-09-18 20:55:14,960 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-09-18 20:55:14,973 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 13ms)
2013-09-18 20:55:15,255 [6] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2013-09-18 20:55:15,923 [6] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2013-09-18 20:55:15,946 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2013-09-18 20:55:15,967 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 20ms)
2013-09-18 20:55:16,119 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2013-09-18 20:55:16,154 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 34ms)
2013-09-18 20:56:45,204 [6] INFO  Umbraco.Core.PluginManager - [Thread 13] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-09-18 20:56:45,212 [6] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 7ms)
2013-09-18 20:56:45,409 [6] INFO  Umbraco.Core.PluginManager - [Thread 13] Starting resolution types of umbraco.interfaces.ITree
2013-09-18 20:56:45,430 [6] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.ITree, found 38 (took 21ms)
2013-09-18 20:56:45,850 [6] INFO  Umbraco.Core.PluginManager - [Thread 12] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-09-18 20:56:45,861 [6] INFO  Umbraco.Core.PluginManager - [Thread 12] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 11ms)
2013-09-18 20:57:09,377 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.IDataType
2013-09-18 20:57:09,427 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.IDataType, found 77 (took 49ms)
2013-09-18 20:57:10,706 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.ICacheRefresher
2013-09-18 20:57:10,719 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 13ms)
2013-09-18 20:57:10,752 [6] INFO  umbraco.content - [Thread 10] Loading content from disk cache...
2013-09-18 20:57:14,186 [6] INFO  UmbracoExamine.DataServices.UmbracoLogService - [Thread 13] Index is being optimized, Provider=ExternalIndexer, NodeId=-1
